Ware Code,LongDD,LatDD,Site,Pottery Identifier
TB2-RBR,52.59,30.08,Tol-e Bashi,Red Burnished
TB2-RR,52.59,30.08,Tol-e Bashi,Red on Red
TB2-ST,52.59,30.08,Tol-e Bashi,Straw Tempered/Coarse
TB3-JPA,52.94243333,29.82901389,Tol-e Borzu,Jari style painted
TB3-JPL,52.94243333,29.82901389,Tol-e Borzu,Jari style plain
TBB-CCW,52.88666667,29.91333333,Tal-e Bakun B,Common Coarse Ware
TBB-MW,52.88666667,29.91333333,Tal-e Bakun B,Medium Ware
TBB-PBW,52.88666667,29.91333333,Tal-e Bakun B,Painted Buff Ware
TE-BRPW,50.011,36.146,Tepe Ebrahimabad,Black on Red Painted Ware
TE-EPW,50.011,36.146,Tepe Ebrahimabad,Ebrahimabad Painted Ware
TE-S1BW,50.011,36.146,Tepe Ebrahimabad,Sialk I Buff Ware
TE-SBW,50.011,36.146,Tepe Ebrahimabad,Simple Buff Ware
TE-SRW,50.011,36.146,Tepe Ebrahimabad,Simple Red Ware
TG-AP,47.09775,33.75661944,Tepe Guran,Archaic Painted
TG-BW,47.09775,33.75661944,Tepe Guran,Buff Ware
TG-GBW,47.09775,33.75661944,Tepe Guran,Greyish-Brown Ware
TG-RS1,47.09775,33.75661944,Tepe Guran,Red-slipped 1
TG-RS2,47.09775,33.75661944,Tepe Guran,Red-slipped 2
TG-SP,47.09775,33.75661944,Tepe Guran,Standard Painted
TI-LPA,56.84,30.16,Tal-i Iblis,Lalehzar Coarse Ware - Painted
TI-LPL,56.84,30.16,Tal-i Iblis,Lalehzar Coarse Ware - Plain
TJ1-ACCW,52.93935833,29.83546667,Tal-e Jari,A Common Coarse Ware
TJ1-AMW,52.93935833,29.83546667,Tal-e Jari,A Medium Ware
TJ1-BCCW,52.93935833,29.83546667,Tal-e Jari,B Common Coarse Ware
TJ1-BMW,52.93935833,29.83546667,Tal-e Jari,B Medium Ware
TJ1-BPBW,52.93935833,29.83546667,Tal-e Jari,B Painted Buff Ware
TJ2-J,52.884524,29.944845,Tol-e Jalyan,Jalyan
TK1-JW,52.50527778,29.58277778,Tal-e Kutahi,Jari Ware
TK1-KW,52.50527778,29.58277778,Tal-e Kutahi,Kutahi Ware
TK1-MW,52.50527778,29.58277778,Tal-e Kutahi,Mushki Ware
TK-PA,52.44198611,29.91753611,Tang-e Kiareh,Painted
TK-PL,52.44198611,29.91753611,Tang-e Kiareh,Plain
TKS-PA1,45.96586111,34.36161667,Tapeh Kah Sareh,Painted Group 1
TKS-PA2,45.96586111,34.36161667,Tapeh Kah Sareh,Painted Group 2
TKS-PL,45.96586111,34.36161667,Tapeh Kah Sareh,Plain
TM1-BIS,52.96494722,29.81067222,Tal-e Mushki,Bichrome Slip
TM1-BUS,52.96494722,29.81067222,Tal-e Mushki,Buff Slipped
TM1-PCW,52.96494722,29.81067222,Tal-e Mushki,Plain Coarse Ware
TM1-PRS,52.96494722,29.81067222,Tal-e Mushki,Red Slipped
TM2-KCW,52.884524,29.944845,Tol-e Mianrud,Karami Coarse Ware
TM2-KP1,52.884524,29.944845,Tol-e Mianrud,Karami Painted 1
TM2-KP2,52.884524,29.944845,Tol-e Mianrud,Karami Painted 2
TN1-PA,45.92961111,34.37497222,Tapeh Nawtapan,Painted
TN1-PL,45.92961111,34.37497222,Tapeh Nawtapan,Plain
TN2-PA,45.83991667,34.58545,Tapeh Noshirwan ,Painted
TN2-PL,45.83991667,34.58545,Tapeh Noshirwan ,Plain
TNU-PA,51.52121667,30.1224,Tol-e Nurabad,Painted
TNU-PAB,51.52121667,30.1224,Tol-e Nurabad,Painted Bichrome
TNU-PL,51.52121667,30.1224,Tol-e Nurabad,Plain
TNU-PLB,51.52121667,30.1224,Tol-e Nurabad,Plain Burnished
TP1-1,56.37194444,36.92472222,Tepe Pahlavan,Type 1
TP1-3,56.37194444,36.92472222,Tepe Pahlavan,Type 3
TP2-CBW,51.59030833,35.42112778,Tepe Pardis,Coarse Buff Ware
TP2-S1PBW,51.59030833,35.42112778,Tepe Pardis,Sialk 1 Painted Buff Ware
TP2-S1UPBW,51.59030833,35.42112778,Tepe Pardis,Sialk 1 Unpainted Buff Ware
TQA-BR,52.76638889,29.17416667,Tol-e Qasr-e Ahmad ,Burnished Red
TQA-PAB,52.76638889,29.17416667,Tol-e Qasr-e Ahmad ,Painted Buff
TQA-PLB,52.76638889,29.17416667,Tol-e Qasr-e Ahmad ,Plain Buff
TQA-SR,52.76638889,29.17416667,Tol-e Qasr-e Ahmad ,Simple Red
TRA-FM,53.05774722,30.11208333,Tepe Rahmat Abad,Formative Mushki
TRA-RW,53.05774722,30.11208333,Tepe Rahmat Abad,Red Ware
TRA-SW,53.05774722,30.11208333,Tepe Rahmat Abad,Simple Ware
TS1-BB,52.44638889,28.85666667,Tol-e Sabz,Black-on-buff
TS1-RR,52.44638889,28.85666667,Tol-e Sabz,Red-on-red
TS1-SU,52.44638889,28.85666667,Tol-e Sabz,Simple unpainted
TS2-BSW,47.26297778,34.35730833,Tepe Sarab,Black-Slipped Ware
TS2-BW,47.26297778,34.35730833,Tepe Sarab,Buff Ware
TS2-RSW,47.26297778,34.35730833,Tepe Sarab,Red-Slipped Ware
TS2-SPW,47.26297778,34.35730833,Tepe Sarab,Standard Painted Ware
TS3-DRP,51.40472222,33.96888889,Tepe Sialk,Dark Red Painted
TS3-S1BW,51.40472222,33.96888889,Tepe Sialk,Sialk I Buff Ware
TS3-S1PR,51.40472222,33.96888889,Tepe Sialk,Sialk I Painted Red
TS3-SBW,51.40472222,33.96888889,Tepe Sialk,Simple Black Ware
TS3-SRW,51.40472222,33.96888889,Tepe Sialk,Simple Red Ware
TS5-JPA,47.219425,32.637341,Tepe Sabz,Jaffar Painted
TS5-JPL,47.219425,32.637341,Tepe Sabz,Jaffar Plain
TS5-KR,47.219425,32.637341,Tepe Sabz,Khazineh Red
TS4-F,52.65,29.56138889,Tol-e Sangi,Formative
TSY-BS,46.90979444,34.48015833,Tappeh Sarab-e Yavari,Buff-Slipped
TSY-RS,46.90979444,34.48015833,Tappeh Sarab-e Yavari,Red -Slipped
TT1-BCR,48.54013333,32.40388611,Tepe Tula'i,Sefid Black-on-Cream
TT1-JPA,48.54013333,32.40388611,Tepe Tula'i,Jaffar Painted
TT1-JPAS,48.54013333,32.40388611,Tepe Tula'i,Jaffar Painted Salmon-on-Black
TT1-JPL,48.54013333,32.40388611,Tepe Tula'i,Jaffar Plain
TT1-KR,48.54013333,32.40388611,Tepe Tula'i,Khazineh Red
TT1-SBU,48.54013333,32.40388611,Tepe Tula'i,Sefid Burnished
TT1-SCR,48.54013333,32.40388611,Tepe Tula'i,Sefid Red-on-Cream
TT2-CA,54.58651944,36.93831944,Tureng Tepe,Cheshmeh Ali
TT2-D,54.58651944,36.93831944,Tureng Tepe,Djeitun
TV-L,53.24673889,36.79325278,Tappeh Valiki,Local
TV-R,53.24673889,36.79325278,Tappeh Valiki,Regional
TV-TR1,53.24673889,36.79325278,Tappeh Valiki,Trans-regional 1
TY-UCW,56.8675,28.33083278,Tepe Yahya,Unpainted Coarse Ware
TZ-AP,49.95123889,35.81657194,Tepe Zagheh,Archaic Painted Ware
TZ-C,49.95123889,35.81657194,Tepe Zagheh,Crusted Ware
YT1-1,46.00295,37.9805,Yanik Tepe,No 1
YT1-S,46.00295,37.9805,Yanik Tepe,Soft
YT2-D,55.200322,37.147815,Yarim Tepe,Djeitun/Yarim Neolithic
